THE	TH IH
LAWYERS	L AH W Y AH R S
HARMLESS	HH AH R M L IH S S
HARMLESS	HH AH R M L AH S S
WALLET	W AH L L IH T
WALLET	W AH L L AH T
DEBTS	D IH B T S
DEBTS	D AH B T S
DEBTS	D IH B D S
ALMS	AH L M S
STREAMING	S T R IH AH M IY N G
STREAMING	S T R AH AH M AH N G
STREAMING	S D R IH AH M IY N G
FORBEAR	F AO R B IH AH R
FORBEAR	F AH R B AH AH R
FAINTED	F AH IY N T IH D
FAINTED	F AH AH N T AH D
FAINTED	F AH IY N T IH T
FAINTED	F AH IY N D IH D
RIBS	R IY B S
RIBS	R AH B S
CHAIRMAN	CH AH IY R M AH N
CHAIRMAN	CH AH AH R M AH N
AMATEUR	AH M AH T IH UW R
AMATEUR	AH M AH T AH AH R
AMATEUR	AH M AH D IH UW R
MILLS	M IY L L S
MILLS	M AH L L S
MONOTONOUS	M AO N AO T AO N AO UW S
MONOTONOUS	M AH N AH T AH N AH AH S
MONOTONOUS	M AO N AO D AO N AO UW S
PEERING	P IH IH R IY N G
PEERING	P AH AH R AH N G
IDEALS	IY D IH AH L S
IDEALS	AH D AH AH L S
POTATOES	P AO T AH T AO IH S
POTATOES	P AH T AH T AH AH S
POTATOES	P AO D AH D AO IH S
HOLIDAYS	HH AO L IY D AH Y S
HOLIDAYS	HH AH L AH D AH Y S
FOLDING	F AO L D IY N G
FOLDING	F AH L D AH N G
NERVOUSLY	N IH R V AO UW S L Y
NERVOUSLY	N AH R V AH AH S L Y
CLARA	K L AH R AH
ACCESS	AH K K IH S S
ACCESS	AH K K AH S S
PARTITION	P AH R T IY T IY AO N
PARTITION	P AH R T AH T AH AH N
PARTITION	P AH R D IY D IY AO N
SPHERE	S P HH IH R IH
SPHERE	S P HH AH R AH
PLANET	P L AH N IH T
PLANET	P L AH N AH T
EXCEPTIONAL	IH K S K IH P T IY AO N AH L
EXCEPTIONAL	AH K S K AH P T AH AH N AH L
EXCEPTIONAL	IH K S K IH P D IY AO N AH L
LONELINESS	L AO N IH L IY N IH S S
LONELINESS	L AH N AH L AH N AH S S
CRAWLED	K R AH W L IH D
CRAWLED	K R AH W L AH D
CRAWLED	K R AH W L IH T
VEGETATION	V IH G IH T AH T IY AO N
VEGETATION	V AH G AH T AH T AH AH N
VEGETATION	V IH G IH D AH D IY AO N
DRIFT	D R IY F T
DRIFT	D R AH F T
PANEL	P AH N IH L
PANEL	P AH N AH L
EQUIPMENT	IH K UW IY P M IH N T
EQUIPMENT	AH K AH AH P M AH N T
WITHDRAWN	W IY T HH D R AH W N
WITHDRAWN	W AH T HH D R AH W N
WITHDRAWN	W IY D HH D R AH W N
CATS	K AH T S
CATS	K AH D S
SOUNDING	S AO UW N D IY N G
SOUNDING	S AH AH N D AH N G
RELEASED	R IH L IH AH S IH D
RELEASED	R AH L AH AH S AH D
RELEASED	R IH L IH AH S IH T
SPANIARDS	S P AH N IY AH R D S
SPANIARDS	S P AH N AH AH R D S
WEARIED	W IH AH R IY IH D
WEARIED	W AH AH R AH AH D
WEARIED	W IH AH R IY IH T
PROCLAIMED	P R AO K L AH IY M IH D
PROCLAIMED	P R AH K L AH AH M AH D
PROCLAIMED	P R AO K L AH IY M IH T
BEAUTIES	B IH AH UW T IY IH S
BEAUTIES	B AH AH AH T AH AH S
BEAUTIES	B IH AH UW D IY IH S
ATTENTIONS	AH T T IH N T IY AO N S
ATTENTIONS	AH T T AH N T AH AH N S
ATTENTIONS	AH D D IH N D IY AO N S
TOAST	T AO AH S T
TOAST	T AH AH S T
REFERRED	R IH F IH R R IH D
REFERRED	R AH F AH R R AH D
REFERRED	R IH F IH R R IH T
REWARDED	R IH W AH R D IH D
REWARDED	R AH W AH R D AH D
REWARDED	R IH W AH R D IH T
ELDERLY	IH L D IH R L Y
ELDERLY	AH L D AH R L Y
ABNORMAL	AH B N AO R M AH L
ABNORMAL	AH B N AH R M AH L
PERVERSE	P IH R V IH R S IH
PERVERSE	P AH R V AH R S AH
SMOOTHLY	S M AO AO T HH L Y
SMOOTHLY	S M AH AH T HH L Y
SMOOTHLY	S M AO AO D HH L Y
MISTAKES	M IY S T AH K IH S
MISTAKES	M AH S T AH K AH S
MISTAKES	M IY S D AH K IH S
BEFOREHAND	B IH F AO R IH HH AH N D
BEFOREHAND	B AH F AH R AH HH AH N D
BEFOREHAND	B IH F AO R IH HH AH N T
WITNESSES	W IY T N IH S S IH S
WITNESSES	W AH T N AH S S AH S
WITNESSES	W IY D N IH S S IH S
BODILY	B AO D IY L Y
BODILY	B AH D AH L Y
ENERGIES	IH N IH R G IY IH S
ENERGIES	AH N AH R G AH AH S
POSSUM	P AO S S UW M
POSSUM	P AH S S AH M
SCARE	S K AH R IH
SCARE	S K AH R AH
RECOGNISE	R IH K AO G N IY S IH
RECOGNISE	R AH K AH G N AH S AH
SCRAMBLED	S K R AH M B L IH D
SCRAMBLED	S K R AH M B L AH D
SCRAMBLED	S K R AH M B L IH T
MAGNIFICENCE	M AH G N IY F IY K IH N K IH
MAGNIFICENCE	M AH G N AH F AH K AH N K AH
PARTIALLY	P AH R T IY AH L L Y
PARTIALLY	P AH R T AH AH L L Y
PARTIALLY	P AH R D IY AH L L Y
LOVELINESS	L AO V IH L IY N IH S S
LOVELINESS	L AH V AH L AH N AH S S
IMPELLED	IY M P IH L L IH D
IMPELLED	AH M P AH L L AH D
IMPELLED	IY M P IH L L IH T
NOISY	N AO IY S Y
NOISY	N AH AH S Y
SEASONS	S IH AH S AO N S
SEASONS	S AH AH S AH N S
INSOLENT	IY N S AO L IH N T
INSOLENT	AH N S AH L AH N T
SIMPLICITY	S IY M P L IY K IY T Y
SIMPLICITY	S AH M P L AH K AH T Y
SIMPLICITY	S IY M P L IY K IY D Y
DU	D UW
TEARING	T IH AH R IY N G
TEARING	T AH AH R AH N G
HAPPENING	HH AH P P IH N IY N G
HAPPENING	HH AH P P AH N AH N G
BOYHOOD	B AO Y HH AO AO D
BOYHOOD	B AH Y HH AH AH D
BOYHOOD	B AO Y HH AO AO T
FLAMING	F L AH M IY N G
FLAMING	F L AH M AH N G
HABITABLE	HH AH B IY T AH B L IH
HABITABLE	HH AH B AH T AH B L AH
HABITABLE	HH AH B IY D AH B L IH
INSUFFICIENT	IY N S UW F F IY K IY IH N T
INSUFFICIENT	AH N S AH F F AH K AH AH N T
NOWHERE	N AO W HH IH R IH
NOWHERE	N AH W HH AH R AH
POLES	P AO L IH S
POLES	P AH L AH S
TEMPERATURE	T IH M P IH R AH T UW R IH
TEMPERATURE	T AH M P AH R AH T AH R AH
TEMPERATURE	T IH M P IH R AH D UW R IH
LAPSE	L AH P S IH
LAPSE	L AH P S AH
MISTOOK	M IY S T AO AO K
MISTOOK	M AH S T AH AH K
MISTOOK	M IY S D AO AO K
ALOFT	AH L AO F T
ALOFT	AH L AH F T
ELEVATION	IH L IH V AH T IY AO N
ELEVATION	AH L AH V AH T AH AH N
ELEVATION	IH L IH V AH D IY AO N
PARTING	P AH R T IY N G
PARTING	P AH R T AH N G
PARTING	P AH R D IY N G
DISAPPEAR	D IY S AH P P IH AH R
DISAPPEAR	D AH S AH P P AH AH R
EVILS	IH V IY L S
EVILS	AH V AH L S
DARKENED	D AH R K IH N IH D
DARKENED	D AH R K AH N AH D
DARKENED	D AH R K IH N IH T
UTTERANCE	UW T T IH R AH N K IH
UTTERANCE	AH T T AH R AH N K AH
UTTERANCE	UW D D IH R AH N K IH
DIES	D IY IH S
DIES	D AH AH S
ABODE	AH B AO D IH
ABODE	AH B AH D AH
DELAWARES	D IH L AH W AH R IH S
DELAWARES	D AH L AH W AH R AH S
LANGUAGES	L AH N G UW AH G IH S
LANGUAGES	L AH N G AH AH G AH S
SUBJECTED	S UW B JH IH K T IH D
SUBJECTED	S AH B JH AH K T AH D
SUBJECTED	S UW B JH IH K T IH T
SUBJECTED	S UW B JH IH K D IH D
MUSING	M UW S IY N G
MUSING	M AH S AH N G
WRINKLED	W R IY N K L IH D
WRINKLED	W R AH N K L AH D
WRINKLED	W R IY N K L IH T
IMPOSING	IY M P AO S IY N G
IMPOSING	AH M P AH S AH N G
HUM	HH UW M
SPLENDOR	S P L IH N D AO R
SPLENDOR	S P L AH N D AH R
MAC	M AH K
CURLED	K UW R L IH D
CURLED	K AH R L AH D
CURLED	K UW R L IH T
EARN	IH AH R N
EARN	AH AH R N
MUSED	M UW S IH D
MUSED	M AH S AH D
MUSED	M UW S IH T
LITERARY	L IY T IH R AH R Y
LITERARY	L AH T AH R AH R Y
LITERARY	L IY D IH R AH R Y
SWEETNESS	S W IH IH T N IH S S
SWEETNESS	S W AH AH T N AH S S
SWEETNESS	S W IH IH D N IH S S
PERCHED	P IH R K HH IH D
PERCHED	P AH R K HH AH D
PERCHED	P IH R K HH IH T
EYEBROWS	IH Y IH B R AO W S
EYEBROWS	AH Y AH B R AH W S
EXAGGERATED	IH K S AH G G IH R AH T IH D
EXAGGERATED	AH K S AH G G AH R AH T AH D
EXAGGERATED	IH K S AH G G IH R AH T IH T
EXAGGERATED	IH K S AH G G IH R AH D IH D
THURSDAY	TH UW R S D AH Y
THURSDAY	TH AH R S D AH Y
UNLOCKED	UW N L AO K K IH D
UNLOCKED	AH N L AH K K AH D
UNLOCKED	UW N L AO K K IH T
BAGGAGE	B AH G G AH G IH
BAGGAGE	B AH G G AH G AH
RAILING	R AH IY L IY N G
RAILING	R AH AH L AH N G
GANEM'S	G AH N IH M S
GANEM'S	G AH N AH M S
DAMASCUS	D AH M AH S K UW S
DAMASCUS	D AH M AH S K AH S
USAGE	UW S AH G IH
USAGE	AH S AH G AH
DECLARING	D IH K L AH R IY N G
DECLARING	D AH K L AH R AH N G
WROUGHT	W R AO UW G HH T
WROUGHT	W R AH AH G HH T
CRUELLY	K R UW IH L L Y
CRUELLY	K R AH AH L L Y
GRACEFULLY	G R AH K IH F UW L L Y
GRACEFULLY	G R AH K AH F AH L L Y
BUDS	B UW D S
BUDS	B AH D S
TUT	T UW T
INSECTS	IY N S IH K T S
INSECTS	AH N S AH K T S
INSECTS	IY N S IH K D S
SCAMPERED	S K AH M P IH R IH D
SCAMPERED	S K AH M P AH R AH D
SCAMPERED	S K AH M P IH R IH T
CARDINAL	K AH R D IY N AH L
CARDINAL	K AH R D AH N AH L
HARDEST	HH AH R D IH S T
HARDEST	HH AH R D AH S T
HOPPED	HH AO P P IH D
HOPPED	HH AH P P AH D
HOPPED	HH AO P P IH T
GRAPE	G R AH P IH
GRAPE	G R AH P AH
STEALING	S T IH AH L IY N G
STEALING	S T AH AH L AH N G
STEALING	S D IH AH L IY N G
ACCUSE	AH K K UW S IH
ACCUSE	AH K K AH S AH
PEOPLES	P IH AO P L IH S
PEOPLES	P AH AH P L AH S
TRANQUIL	T R AH N K UW IY L
TRANQUIL	T R AH N K AH AH L
RANDOM	R AH N D AO M
RANDOM	R AH N D AH M
APPEARANCES	AH P P IH AH R AH N K IH S
APPEARANCES	AH P P AH AH R AH N K AH S
TOLERABLY	T AO L IH R AH B L Y
TOLERABLY	T AH L AH R AH B L Y
ECHO	IH K HH AO
ECHO	AH K HH AH
HALT	HH AH L T
EYELIDS	IH Y IH L IY D S
EYELIDS	AH Y AH L AH D S
EXCEPTING	IH K S K IH P T IY N G
EXCEPTING	AH K S K AH P T AH N G
EXCEPTING	IH K S K IH P D IY N G
SULLEN	S UW L L IH N
SULLEN	S AH L L AH N
UPWARDS	UW P W AH R D S
UPWARDS	AH P W AH R D S
BLINDLY	B L IY N D L Y
BLINDLY	B L AH N D L Y
CHANNELS	CH AH N N IH L S
CHANNELS	CH AH N N AH L S
WIGWAM	W IY G W AH M
WIGWAM	W AH G W AH M
DETAINED	D IH T AH IY N IH D
DETAINED	D AH T AH AH N AH D
DETAINED	D IH T AH IY N IH T
DETAINED	D IH D AH IY N IH D
CONSTITUTE	K AO N S T IY T UW T IH
CONSTITUTE	K AH N S T AH T AH T AH
CONSTITUTE	K AO N S D IY D UW D IH
VACANT	V AH K AH N T
BUD	B UW D
BUD	B UW T
ATTEMPTING	AH T T IH M P T IY N G
ATTEMPTING	AH T T AH M P T AH N G
ATTEMPTING	AH D D IH M P D IY N G
SUNG	S UW N G
SUNG	S AH N G
ATTACKING	AH T T AH K K IY N G
ATTACKING	AH T T AH K K AH N G
ATTACKING	AH D D AH K K IY N G
WHISTLING	W HH IY S T L IY N G
WHISTLING	W HH AH S T L AH N G
WHISTLING	W HH IY S D L IY N G
STATELY	S T AH T IH L Y
STATELY	S T AH T AH L Y
STATELY	S D AH D IH L Y
SEEDS	S IH IH D S
SEEDS	S AH AH D S
RESULTANT	R IH S UW L T AH N T
RESULTANT	R AH S AH L T AH N T
RESULTANT	R IH S UW L D AH N T
HATCH	HH AH T K HH
HATCH	HH AH D K HH
PA	P AH
GAUNT	G AH UW N T
GAUNT	G AH AH N T
PHOTOGRAPH	P HH AO T AO G R AH P HH
PHOTOGRAPH	P HH AH T AH G R AH P HH
PHOTOGRAPH	P HH AO D AO G R AH P HH
TOOTH	T AO AO T HH
TOOTH	T AH AH T HH
TOOTH	T AO AO D HH
BANISHED	B AH N IY S HH IH D
BANISHED	B AH N AH S HH AH D
BANISHED	B AH N IY S HH IH T
UPSET	UW P S IH T
UPSET	AH P S AH T
EAGLE	IH AH G L IH
EAGLE	AH AH G L AH
ABBEY	AH B B IH Y
ABBEY	AH B B AH Y
PUBLICATION	P UW B L IY K AH T IY AO N
PUBLICATION	P AH B L AH K AH T AH AH N
PUBLICATION	P UW B L IY K AH D IY AO N
PETITION	P IH T IY T IY AO N
PETITION	P AH T AH T AH AH N
PETITION	P IH D IY D IY AO N
DETECTED	D IH T IH K T IH D
DETECTED	D AH T AH K T AH D
DETECTED	D IH T IH K T IH T
DETECTED	D IH D IH K D IH D
REFRAIN	R IH F R AH IY N
REFRAIN	R AH F R AH AH N
TERRORS	T IH R R AO R S
TERRORS	T AH R R AH R S
PROMOTE	P R AO M AO T IH
PROMOTE	P R AH M AH T AH
PROMOTE	P R AO M AO D IH
GARDENER	G AH R D IH N IH R
GARDENER	G AH R D AH N AH R
PLANTATION	P L AH N T AH T IY AO N
PLANTATION	P L AH N T AH T AH AH N
PLANTATION	P L AH N D AH D IY AO N
SAMSON	S AH M S AO N
SAMSON	S AH M S AH N
SKULL	S K UW L L
SKULL	S K AH L L
CUTTER	K UW T T IH R
CUTTER	K AH T T AH R
CUTTER	K UW D D IH R
AUDIBLE	AH UW D IY B L IH
AUDIBLE	AH AH D AH B L AH
COATS	K AO AH T S
COATS	K AH AH T S
COATS	K AO AH D S
BREADTH	B R IH AH D T HH
BREADTH	B R AH AH D T HH
BREADTH	B R IH AH D D HH
PREACH	P R IH AH K HH
PREACH	P R AH AH K HH
BLADE	B L AH D IH
BLADE	B L AH D AH
SHIELD	SH IY IH L D
SHIELD	SH AH AH L D
SHIELD	SH IY IH L T
TARLING	T AH R L IY N G
TARLING	T AH R L AH N G
LINED	L IY N IH D
LINED	L AH N AH D
LINED	L IY N IH T
RIDERS	R IY D IH R S
RIDERS	R AH D AH R S
CARING	K AH R IY N G
CARING	K AH R AH N G
BABYLON	B AH B Y L AO N
BABYLON	B AH B Y L AH N
SUBSTANTIAL	S UW B S T AH N T IY AH L
SUBSTANTIAL	S AH B S T AH N T AH AH L
SUBSTANTIAL	S UW B S D AH N D IY AH L
JONES	JH AO N IH S
JONES	JH AH N AH S
REMOVAL	R IH M AO V AH L
REMOVAL	R AH M AH V AH L
LUCAS	L UW K AH S
LUCAS	L AH K AH S
TORCH	T AO R K HH
TORCH	T AH R K HH
CONTINUES	K AO N T IY N UW IH S
CONTINUES	K AH N T AH N AH AH S
CONTINUES	K AO N D IY N UW IH S
CUB	K UW B
GEORGIA	G IH AO R G IY AH
GEORGIA	G AH AH R G AH AH
ANNETTE	AH N N IH T T IH
ANNETTE	AH N N AH T T AH
ANNETTE	AH N N IH D D IH
HEIGHTENED	HH IH IY G HH T IH N IH D
HEIGHTENED	HH AH AH G HH T AH N AH D
HEIGHTENED	HH IH IY G HH T IH N IH T
HEIGHTENED	HH IH IY G HH D IH N IH D
FEDERAL	F IH D IH R AH L
FEDERAL	F AH D AH R AH L
OWNERS	AO W N IH R S
OWNERS	AH W N AH R S
WEDNESDAY	W IH D N IH S D AH Y
WEDNESDAY	W AH D N AH S D AH Y
CHATTERING	CH AH T T IH R IY N G
CHATTERING	CH AH T T AH R AH N G
CHATTERING	CH AH D D IH R IY N G
BOAR	B AO AH R
BOAR	B AH AH R
OXEN	AO K S IH N
OXEN	AH K S AH N
BREECHES	B R IH IH K HH IH S
BREECHES	B R AH AH K HH AH S
ENTREATIES	IH N T R IH AH T IY IH S
ENTREATIES	AH N T R AH AH T AH AH S
ENTREATIES	IH N D R IH AH D IY IH S
REJOICED	R IH JH AO IY K IH D
REJOICED	R AH JH AH AH K AH D
REJOICED	R IH JH AO IY K IH T
KNELT	K N IH L T
KNELT	K N AH L T
TREVILLE	T R IH V IY L L IH
TREVILLE	T R AH V AH L L AH
CHILDISH	CH IY L D IY S HH
CHILDISH	CH AH L D AH S HH
STEALTHILY	S T IH AH L T HH IY L Y
STEALTHILY	S T AH AH L T HH AH L Y
STEALTHILY	S D IH AH L D HH IY L Y
CONVEY	K AO N V IH Y
CONVEY	K AH N V AH Y
RESOLUTIONS	R IH S AO L UW T IY AO N S
RESOLUTIONS	R AH S AH L AH T AH AH N S
RESOLUTIONS	R IH S AO L UW D IY AO N S
FLINT	F L IY N T
FLINT	F L AH N T
MECHANICAL	M IH K HH AH N IY K AH L
MECHANICAL	M AH K HH AH N AH K AH L
SWING	S W IY N G
SWING	S W AH N G
OUTFIT	AO UW T F IY T
OUTFIT	AH AH T F AH T
OUTFIT	AO UW D F IY T
LEWIS	L IH W IY S
LEWIS	L AH W AH S
PRODUCTION	P R AO D UW K T IY AO N
PRODUCTION	P R AH D AH K T AH AH N
PRODUCTION	P R AO D UW K D IY AO N
YOKE	Y AO K IH
YOKE	Y AH K AH
DAMNED	D AH M N IH D
DAMNED	D AH M N AH D
DAMNED	D AH M N IH T
GRAMMAR	G R AH M M AH R
SPY	S P Y
GENSERIC	G IH N S IH R IY K
GENSERIC	G AH N S AH R AH K
SENATE	S IH N AH T IH
SENATE	S AH N AH T AH
SENATE	S IH N AH D IH
IMPERIAL	IY M P IH R IY AH L
IMPERIAL	AH M P AH R AH AH L
UNDERWATER	UW N D IH R W AH T IH R
UNDERWATER	AH N D AH R W AH T AH R
UNDERWATER	UW N D IH R W AH D IH R
NAUTILUS'S	N AH UW T IY L UW S S
NAUTILUS'S	N AH AH T AH L AH S S
NAUTILUS'S	N AH UW D IY L UW S S
PROCEEDS	P R AO K IH IH D S
PROCEEDS	P R AH K AH AH D S
VIRGIN	V IY R G IY N
VIRGIN	V AH R G AH N
ESSENCE	IH S S IH N K IH
ESSENCE	AH S S AH N K AH
CHEAP	CH IH AH P
CHEAP	CH AH AH P
GRATIFICATION	G R AH T IY F IY K AH T IY AO N
GRATIFICATION	G R AH T AH F AH K AH T AH AH N
GRATIFICATION	G R AH D IY F IY K AH D IY AO N
SKI	S K IY
TROUBLESOME	T R AO UW B L IH S AO M IH
TROUBLESOME	T R AH AH B L AH S AH M AH
ONESELF	AO N IH S IH L F
ONESELF	AH N AH S AH L F
MEASURED	M IH AH S UW R IH D
MEASURED	M AH AH S AH R AH D
MEASURED	M IH AH S UW R IH T
CULTIVATION	K UW L T IY V AH T IY AO N
CULTIVATION	K AH L T AH V AH T AH AH N
CULTIVATION	K UW L D IY V AH D IY AO N
VENZA	V IH N Z AH
VENZA	V AH N Z AH
CURLS	K UW R L S
CURLS	K AH R L S
MARQUIS	M AH R K UW IY S
MARQUIS	M AH R K AH AH S
DERONDA	D IH R AO N D AH
DERONDA	D AH R AH N D AH
SUMMER'S	S UW M M IH R S
SUMMER'S	S AH M M AH R S
CAB	K AH B
GLARE	G L AH R IH
GLARE	G L AH R AH
CREVICE	K R IH V IY K IH
CREVICE	K R AH V AH K AH
CANYON	K AH N Y AO N
CANYON	K AH N Y AH N
FRENCHMEN	F R IH N K HH M IH N
FRENCHMEN	F R AH N K HH M AH N
LAMB	L AH M B
STUDENT	S T UW D IH N T
STUDENT	S T AH D AH N T
STUDENT	S D UW D IH N T
BLINDED	B L IY N D IH D
BLINDED	B L AH N D AH D
BLINDED	B L IY N D IH T
TRANQUILLITY	T R AH N K UW IY L L IY T Y
TRANQUILLITY	T R AH N K AH AH L L AH T Y
TRANQUILLITY	T R AH N K UW IY L L IY D Y
KINGDOMS	K IY N G D AO M S
KINGDOMS	K AH N G D AH M S
SUPPOSITION	S UW P P AO S IY T IY AO N
SUPPOSITION	S AH P P AH S AH T AH AH N
SUPPOSITION	S UW P P AO S IY D IY AO N
KNEELING	K N IH IH L IY N G
KNEELING	K N AH AH L AH N G
EXPEDIENT	IH K S P IH D IY IH N T
EXPEDIENT	AH K S P AH D AH AH N T
PENNSYLVANIA	P IH N N S Y L V AH N IY AH
PENNSYLVANIA	P AH N N S Y L V AH N AH AH
CHAMBERS	CH AH M B IH R S
CHAMBERS	CH AH M B AH R S
INSOLENCE	IY N S AO L IH N K IH
INSOLENCE	AH N S AH L AH N K AH
SELECT	S IH L IH K T
SELECT	S AH L AH K T
ARTERY	AH R T IH R Y
ARTERY	AH R T AH R Y
ARTERY	AH R D IH R Y
ROSTOV	R AO S T AO V
ROSTOV	R AH S T AH V
ROSTOV	R AO S D AO V
MARY'S	M AH R Y S
PROJECT	P R AO JH IH K T
PROJECT	P R AH JH AH K T
RESIGNATION	R IH S IY G N AH T IY AO N
RESIGNATION	R AH S AH G N AH T AH AH N
RESIGNATION	R IH S IY G N AH D IY AO N
SPEEDY	S P IH IH D Y
SPEEDY	S P AH AH D Y
DECKS	D IH K K S
DECKS	D AH K K S
PRODUCTS	P R AO D UW K T S
PRODUCTS	P R AH D AH K T S
PRODUCTS	P R AO D UW K D S
DISTRIBUTION	D IY S T R IY B UW T IY AO N
DISTRIBUTION	D AH S T R AH B AH T AH AH N
DISTRIBUTION	D IY S D R IY B UW D IY AO N
TANGLED	T AH N G L IH D
TANGLED	T AH N G L AH D
TANGLED	T AH N G L IH T
COMMISSIONER	K AO M M IY S S IY AO N IH R
COMMISSIONER	K AH M M AH S S AH AH N AH R
LAMENTED	L AH M IH N T IH D
LAMENTED	L AH M AH N T AH D
LAMENTED	L AH M IH N T IH T
LAMENTED	L AH M IH N D IH D
FULFILLED	F UW L F IY L L IH D
FULFILLED	F AH L F AH L L AH D
FULFILLED	F UW L F IY L L IH T
MANHOOD	M AH N HH AO AO D
MANHOOD	M AH N HH AH AH D
MANHOOD	M AH N HH AO AO T
VILLONA	V IY L L AO N AH
VILLONA	V AH L L AH N AH
DOYLE	D AO Y L IH
DOYLE	D AH Y L AH
BRIGHAM	B R IY G HH AH M
BRIGHAM	B R AH G HH AH M
FUEL	F UW IH L
FUEL	F AH AH L
INVESTIGATION	IY N V IH S T IY G AH T IY AO N
INVESTIGATION	AH N V AH S T AH G AH T AH AH N
INVESTIGATION	IY N V IH S D IY G AH D IY AO N
MAIDENS	M AH IY D IH N S
MAIDENS	M AH AH D AH N S
MAXWELL	M AH K S W IH L L
MAXWELL	M AH K S W AH L L
PACKET	P AH K K IH T
PACKET	P AH K K AH T
GUB	G UW B
FIRS	F IY R S
FIRS	F AH R S
CHANCELLOR	CH AH N K IH L L AO R
CHANCELLOR	CH AH N K AH L L AH R
SHASTA	SH AH S T AH
SHASTA	SH AH S D AH
PHILIP'S	P HH IY L IY P S
PHILIP'S	P HH AH L AH P S
FUNDEVOGEL	F UW N D IH V AO G IH L
FUNDEVOGEL	F AH N D AH V AH G AH L
JEFF'S	JH IH F F S
JEFF'S	JH AH F F S
INSURRECTION	IY N S UW R R IH K T IY AO N
INSURRECTION	AH N S AH R R AH K T AH AH N
INSURRECTION	IY N S UW R R IH K D IY AO N
CRANES	K R AH N IH S
CRANES	K R AH N AH S
COULSON	K AO UW L S AO N
COULSON	K AH AH L S AH N
CARAVAN	K AH R AH V AH N
POSTMAN	P AO S T M AH N
POSTMAN	P AH S T M AH N
POSTMAN	P AO S D M AH N
LOCH	L AO K HH
LOCH	L AH K HH
INVENTOR	IY N V IH N T AO R
INVENTOR	AH N V AH N T AH R
INVENTOR	IY N V IH N D AO R
HENSHAW	HH IH N S HH AH W
HENSHAW	HH AH N S HH AH W
VERONICA	V IH R AO N IY K AH
VERONICA	V AH R AH N AH K AH
DIETRICH	D IY IH T R IY K HH
DIETRICH	D AH AH T R AH K HH
DIETRICH	D IY IH D R IY K HH
SHALMANESER	SH AH L M AH N IH S IH R
SHALMANESER	SH AH L M AH N AH S AH R
ASSYRIAN	AH S S Y R IY AH N
ASSYRIAN	AH S S Y R AH AH N
BECHAMEL	B IH K HH AH M IH L
BECHAMEL	B AH K HH AH M AH L
SOUSSIO	S AO UW S S IY AO
SOUSSIO	S AH AH S S AH AH
MINKS	M IY N K S
MINKS	M AH N K S
HEADLONG	HH IH AH D L AO N G
HEADLONG	HH AH AH D L AH N G
AWED	AH W IH D
AWED	AH W AH D
AWED	AH W IH T
RACHEL'S	R AH K HH IH L S
RACHEL'S	R AH K HH AH L S
BEES	B IH IH S
BEES	B AH AH S
GRASSY	G R AH S S Y
WILLOWS	W IY L L AO W S
WILLOWS	W AH L L AH W S
DIRT	D IY R T
DIRT	D AH R T
DISHES	D IY S HH IH S
DISHES	D AH S HH AH S
PRESERVES	P R IH S IH R V IH S
PRESERVES	P R AH S AH R V AH S
BRISKLY	B R IY S K L Y
BRISKLY	B R AH S K L Y
SETS	S IH T S
SETS	S AH T S
SETS	S IH D S
TICKET	T IY K K IH T
TICKET	T AH K K AH T
SHABBY	SH AH B B Y
BRUSHED	B R UW S HH IH D
BRUSHED	B R AH S HH AH D
BRUSHED	B R UW S HH IH T
EXCUSED	IH K S K UW S IH D
EXCUSED	AH K S K AH S AH D
EXCUSED	IH K S K UW S IH T
EXECUTIONER	IH K S IH K UW T IY AO N IH R
EXECUTIONER	AH K S AH K AH T AH AH N AH R
EXECUTIONER	IH K S IH K UW D IY AO N IH R
ASSURANCE	AH S S UW R AH N K IH
ASSURANCE	AH S S AH R AH N K AH
OCCUPYING	AO K K UW P Y IY N G
OCCUPYING	AH K K AH P Y AH N G
ELOQUENCE	IH L AO K UW IH N K IH
ELOQUENCE	AH L AH K AH AH N K AH
POLITENESS	P AO L IY T IH N IH S S
POLITENESS	P AH L AH T AH N AH S S
POLITENESS	P AO L IY D IH N IH S S
WOVEN	W AO V IH N
WOVEN	W AH V AH N
INQUIRING	IY N K UW IY R IY N G
INQUIRING	AH N K AH AH R AH N G
HUDDLED	HH UW D D L IH D
HUDDLED	HH AH D D L AH D
HUDDLED	HH UW D D L IH T
STERNLY	S T IH R N L Y
STERNLY	S T AH R N L Y
STERNLY	S D IH R N L Y
BUTLER	B UW T L IH R
BUTLER	B AH T L AH R
BUTLER	B UW D L IH R
FALTERED	F AH L T IH R IH D
FALTERED	F AH L T AH R AH D
FALTERED	F AH L T IH R IH T
FALTERED	F AH L D IH R IH D
DISLIKED	D IY S L IY K IH D
DISLIKED	D AH S L AH K AH D
DISLIKED	D IY S L IY K IH T
ORNAMENTED	AO R N AH M IH N T IH D
ORNAMENTED	AH R N AH M AH N T AH D
ORNAMENTED	AO R N AH M IH N T IH T
ORNAMENTED	AO R N AH M IH N D IH D
ARBITRARY	AH R B IY T R AH R Y
ARBITRARY	AH R B AH T R AH R Y
ARBITRARY	AH R B IY D R AH R Y
FOOTING	F AO AO T IY N G
FOOTING	F AH AH T AH N G
FOOTING	F AO AO D IY N G
INVALID	IY N V AH L IY D
INVALID	AH N V AH L AH D
INVALID	IY N V AH L IY T
WARRANT	W AH R R AH N T
